ID;Work Order;Status;Order Date;Release Date;Due Date;Location;Lot/Serial;WO part;MES part;Description for WO part(EN);Description for WO part(VN);Drawing Rev;Rev;Prod line;Order Qty;Complete Qty;Reject Qty;Open Qty;WO Component;MES Component;Description for WO component(EN);Description for WO component(VN);Item Type;Lot/Serial Allocate;Required Qty;Location.1;Qty Issued;Item Number
260627C04;000010065513;TECO - Technically completed;2026-06-27 00:00:00;2026-06-18 00:00:00;2026-07-04 00:00:00;00055;260627C04;RC5505DOT5M;RC5505DOT5M;BTP đã chia cuộn OT5M;BTP đã chia cuộn OT5M;;;RFS;5592;5592;0;0;RF00X300V;RF00X300V;SUS316 Blader φ0.05 Double (TVC);Sợi lưới thép SUS316 φ0.05 kép (TVC);ZROH;HC2601J;5592;3005;5592;0010
260630C36;000010065781;TECO - Technically completed;2026-06-30 00:00:00;2026-06-18 00:00:00;2026-07-07 00:00:00;00060;260630C36;RC60OT5M;RC60OT5M;BTP đan lưới thép,cuộn lại 1OT5M;BTP đan lưới thép,cuộn lại 1OT5M;;;RFS;800;787;13;0;RC50OT5M;RC50OT5M;BTP đúc inner,kiểm tra lồi OT5M;BTP đúc inner,kiểm tra lồi OT5M;ZHAL;260627C05;800;3005;800;0010
260630C36;000010065781;TECO - Technically completed;2026-06-30 00:00:00;2026-06-18 00:00:00;2026-07-07 00:00:00;00060;260630C36;RC60OT5M;RC60OT5M;BTP đan lưới thép,cuộn lại 1OT5M;BTP đan lưới thép,cuộn lại 1OT5M;;;RFS;800;787;13;0;RC5505DOT5M;RC5505DOT5M;BTP đã chia cuộn OT5M;BTP đã chia cuộn OT5M;ZHAL;260629C02;466.08;3005;466;0020
260629E05;000010066346;TECO - Technically completed;2026-06-29 00:00:00;2026-06-18 00:00:00;2026-07-06 00:00:00;30067;260629E05;RC67X5SMSU;RC67X5SMSU;BTP đã CT bằng tay 5SMSUS304;BTP đã CT bằng tay 5SMSUS304;;;RFS;800;788;0;0;RC66X5SMSU;RC66X5SMSU;BTP đã đúc Outer lần 1 5SMSUS304;BTP đã đúc Outer lần 1 5SMSUS304;ZHAL;260629E05;800;;788;0010
260629E06;000010066347;TECO - Technically completed;2026-06-29 00:00:00;2026-06-18 00:00:00;2026-07-06 00:00:00;30067;260629E06;RC67X5SMSU;RC67X5SMSU;BTP đã CT bằng tay 5SMSUS304;BTP đã CT bằng tay 5SMSUS304;;;RFS;800;775;0;0;RC66X5SMSU;RC66X5SMSU;BTP đã đúc Outer lần 1 5SMSUS304;BTP đã đúc Outer lần 1 5SMSUS304;ZHAL;260629E06;800;;775;0010
260629E05;000010066352;TECO - Technically completed;2026-06-29 00:00:00;2026-06-18 00:00:00;2026-07-06 00:00:00;30071;260629E05;RC70X5SMSU;RC70X5SMSU;BTP đã đúc Outer lần 2 5SMSUS304;BTP đã đúc Outer lần 2 5SMSUS304;;;RFS;800;776;12;0;RF88XRF4V;RF88XRF4V;RF-4 Outer Resin;Hạt nhựa Outer RF-4;ZROH;16259028;282.08;;282;0010
260629E05;000010066352;TECO - Technically completed;2026-06-29 00:00:00;2026-06-18 00:00:00;2026-07-06 00:00:00;30071;260629E05;RC70X5SMSU;RC70X5SMSU;BTP đã đúc Outer lần 2 5SMSUS304;BTP đã đúc Outer lần 2 5SMSUS304;;;RFS;800;776;12;0;RC67X5SMSU;RC67X5SMSU;BTP đã CT bằng tay 5SMSUS304;BTP đã CT bằng tay 5SMSUS304;ZHAL;260629E05;800;;788;0020
260629E06;000010066353;TECO - Technically completed;2026-06-29 00:00:00;2026-06-18 00:00:00;2026-07-06 00:00:00;30071;260629E06;RC70X5SMSU;RC70X5SMSU;BTP đã đúc Outer lần 2 5SMSUS304;BTP đã đúc Outer lần 2 5SMSUS304;;;RFS;800;765;10;0;RF88XRF4V;RF88XRF4V;RF-4 Outer Resin;Hạt nhựa Outer RF-4;ZROH;16259028;282.08;;282;0010
260629E06;000010066353;TECO - Technically completed;2026-06-29 00:00:00;2026-06-18 00:00:00;2026-07-06 00:00:00;30071;260629E06;RC70X5SMSU;RC70X5SMSU;BTP đã đúc Outer lần 2 5SMSUS304;BTP đã đúc Outer lần 2 5SMSUS304;;;RFS;800;765;10;0;RC67X5SMSU;RC67X5SMSU;BTP đã CT bằng tay 5SMSUS304;BTP đã CT bằng tay 5SMSUS304;ZHAL;260629E06;800;;775;0020
260629E06;000010066359;TECO - Technically completed;2026-06-29 00:00:00;2026-06-18 00:00:00;2026-07-06 00:00:00;30074;260629E06;RC75X5SSSU;RC75X5SSSU;BTP đã cắt rút lõi 5SSSUS304;BTP đã cắt rút lõi 5SSSUS304;;;RFS;656;590;30;0;RC70X5SSSU;RC70X5SSSU;BTP đã đúc Outer lần 2 5SSSUS304;BTP đã đúc Outer lần 2 5SSSUS304;ZHAL;260627E06;799.01;;756;0010
260630E01;000010066360;TECO - Technically completed;2026-06-30 00:00:00;2026-06-18 00:00:00;2026-07-07 00:00:00;30066;260630E01;RC66X5SMSU;RC66X5SMSU;BTP đã đúc Outer lần 1 5SMSUS304;BTP đã đúc Outer lần 1 5SMSUS304;;;RFS;800;786;9;0;RF80XT40V;RF80XT40V;T-40 Outer Resin;Hạt nhựa Outer T-40;ZROH;250407;819.376;;813;0010
260630E01;000010066360;TECO - Technically completed;2026-06-30 00:00:00;2026-06-18 00:00:00;2026-07-07 00:00:00;30066;260630E01;RC66X5SMSU;RC66X5SMSU;BTP đã đúc Outer lần 1 5SMSUS304;BTP đã đúc Outer lần 1 5SMSUS304;;;RFS;800;786;9;0;RC65X5SMSU;RC65X5SMSU;BTP CT, ép, cuộn lại 2 5SMSUS304;BTP CT, ép, cuộn lại 2 5SMSUS304;ZHAL;260629C01;800;;795;0020
260630E02;000010066361;TECO - Technically completed;2026-06-30 00:00:00;2026-06-18 00:00:00;2026-07-07 00:00:00;30066;260630E02;RC66X5SMSU;RC66X5SMSU;BTP đã đúc Outer lần 1 5SMSUS304;BTP đã đúc Outer lần 1 5SMSUS304;;;RFS;800;709;67;0;RF80XT40V;RF80XT40V;T-40 Outer Resin;Hạt nhựa Outer T-40;ZROH;250407;819.376;;794;0010
